home_team,away_team,start_time,home_score,away_score,result,is_closed,sport_id,sport_name,league_name,league_type,stadium
리버풀,아스널,2025-09-27T00:30:00+09:00,1,0,home_win,True,2,soccer,EPL,epl,
애스턴 빌라,팰리스,2025-09-27T03:00:00+09:00,0,3,away_win,True,2,soccer,EPL,epl,
아스널,노팅엄,2025-09-27T20:30:00+09:00,3,0,home_win,True,2,soccer,EPL,epl,
팰리스,선덜랜드,2025-09-27T23:00:00+09:00,0,0,draw,True,2,soccer,EPL,epl,
본머스,브라이턴,2025-09-27T23:00:00+09:00,2,1,home_win,True,2,soccer,EPL,epl,
풀럼,리즈,2025-09-27T23:00:00+09:00,1,0,home_win,True,2,soccer,EPL,epl,
에버턴,애스턴 빌라,2025-09-27T23:00:00+09:00,0,0,draw,True,2,soccer,EPL,epl,
뉴캐슬,울버햄튼,2025-09-27T23:00:00+09:00,1,0,home_win,True,2,soccer,EPL,epl,
웨스트햄,토트넘,2025-09-27T01:30:00+09:00,0,3,away_win,True,2,soccer,EPL,epl,
브렌트퍼드,첼시,2025-09-27T04:00:00+09:00,2,2,draw,True,2,soccer,EPL,epl,
번리,리버풀,2025-09-27T22:00:00+09:00,0,1,away_win,True,2,soccer,EPL,epl,
맨시티,맨유,2025-09-27T00:30:00+09:00,3,0,home_win,True,2,soccer,EPL,epl,
리버풀,에버턴,2025-09-27T20:30:00+09:00,2,1,home_win,True,2,soccer,EPL,epl,
웨스트햄,팰리스,2025-09-27T23:00:00+09:00,1,2,away_win,True,2,soccer,EPL,epl,
번리,노팅엄,2025-09-27T23:00:00+09:00,1,1,draw,True,2,soccer,EPL,epl,
울버햄튼,리즈,2025-09-27T23:00:00+09:00,1,3,away_win,True,2,soccer,EPL,epl,
브라이턴,토트넘,2025-09-27T23:00:00+09:00,2,2,draw,True,2,soccer,EPL,epl,
맨유,첼시,2025-09-27T01:30:00+09:00,2,1,home_win,True,2,soccer,EPL,epl,
풀럼,브렌트퍼드,2025-09-27T04:00:00+09:00,3,1,home_win,True,2,soccer,EPL,epl,
본머스,뉴캐슬,2025-09-27T22:00:00+09:00,0,0,draw,True,2,soccer,EPL,epl,
선덜랜드,애스턴 빌라,2025-09-27T22:00:00+09:00,1,1,draw,True,2,soccer,EPL,epl,
아스널,맨시티,2025-09-27T00:30:00+09:00,1,1,draw,True,2,soccer,EPL,epl,
브렌트퍼드,맨유,2025-09-27T20:30:00+09:00,,,,False,2,soccer,EPL,epl,
리즈,본머스,2025-09-27T23:00:00+09:00,,,,False,2,soccer,EPL,epl,
맨시티,번리,2025-09-27T23:00:00+09:00,,,,False,2,soccer,EPL,epl,
팰리스,리버풀,2025-09-27T23:00:00+09:00,,,,False,2,soccer,EPL,epl,
첼시,브라이턴,2025-09-27T23:00:00+09:00,,,,False,2,soccer,EPL,epl,
노팅엄,선덜랜드,2025-09-27T01:30:00+09:00,,,,False,2,soccer,EPL,epl,
토트넘,울버햄튼,2025-09-27T04:00:00+09:00,,,,False,2,soccer,EPL,epl,
애스턴 빌라,풀럼,2025-09-27T22:00:00+09:00,,,,False,2,soccer,EPL,epl,
뉴캐슬,아스널,2025-09-27T00:30:00+09:00,,,,False,2,soccer,EPL,epl,
에버턴,웨스트햄,2025-09-27T04:00:00+09:00,,,,False,2,soccer,EPL,epl,
